name,cagr,vol,sharpe,sortino,maxdd,worst_day,total
V1 Tactical,1.215907898497322,0.44879515898671435,2.6201439007325216,3.1996136109882505,-0.3481245640404993,-0.16102705201858292,3.8639567016437386
V2 Tactical+gate,1.1362744972080785,0.41396335777528714,2.6482404218084734,3.1601030569776665,-0.27682070853471563,-0.16102705201858292,3.522615044520914
V3 eq-weight,1.2374688326185614,0.47061822642029183,2.544459108026866,3.134851623956369,-0.36924805642955616,-0.1709961628879858,3.958498829954859
V4 monthly,1.026782380573521,0.44586305669258575,2.2131961053097275,2.618674250264873,-0.3507993527288117,-0.17775682855706354,3.073444229423707
V5 Core(price),1.0987549830300947,0.4942961145922651,2.1419447812237817,2.647735166263228,-0.41160627327705945,-0.19287522165505944,3.366069078658068
BLEND 50/50 (V2+V5),1.1045768062922,0.4381427654930214,2.4297486804199124,2.9589747585855073,-0.33693316995403755,-0.1769511368368213,3.390180334615783
EW-50 universe,0.7927000228823013,0.3896111340792365,1.93192636719982,2.5241397785262425,-0.355782011346789,-0.11684062134148687,2.191518014517256
QQQ B&H,0.22982190680881165,0.21661447324842487,0.8763122055612318,1.1521916640199676,-0.227683192853403,-0.06210882880352331,0.5087417190674659
SOXX B&H,0.5046483273946913,0.4046744904445621,1.1482026625504462,1.5525912956978007,-0.4136103710514316,-0.10444311493186198,1.252981843855161
NVDA B&H,0.2858493512335025,0.48214232287352937,0.5099103305601969,0.7214713784597663,-0.36881037580530474,-0.16968167662348022,0.6484671538709699
