name,cagr,vol,sharpe,sortino,maxdd,worst_day,total,engine_version
V1 Tactical,1.015407150370061,0.4044028116765896,2.411969259872795,3.04456717894229,-0.34394940292712617,-0.161694035556313,7.073269324062803,v1.2-corrected
V2 Tactical+gate,0.9420310845957645,0.37688441580746446,2.3933891844882673,2.989561744909862,-0.30310305310777075,-0.161694035556313,6.228516264526494,v1.2-corrected
V3 eq-weight,0.9775315113260372,0.43015304699611734,2.1795300948652807,2.799528300231011,-0.363503788771505,-0.17157351099633034,6.629477088558994,v1.2-corrected
V4 monthly,0.8943011811608765,0.4291595002092321,1.9906379347174445,2.5323071098634697,-0.4380608192723251,-0.17584148049135584,5.711848563159865,v1.2-corrected
V5 Core(price),1.0191472281441318,0.43267539519216597,2.263006491758698,2.945244950703271,-0.3975063144371688,-0.15989601888568405,7.11799988759412,v1.2-corrected
BLEND 50/50,0.9909852212618209,0.391638530321598,2.428221810762362,3.107302883045877,-0.32367021591526024,-0.16079502722099848,6.785207985306943,v1.2-corrected
BLEND ex-IPO-cohort,0.8766134822535121,0.3721317542972271,2.248164722823671,2.902331550098703,-0.3203857529108616,-0.15403816367072654,5.526801318037607,v1.2-corrected
EW-50 universe,0.8358011075648388,0.350565246101825,2.2700513425500564,3.0366028192385204,-0.3557820120753842,-0.11684061989716432,5.1128290016788664,v1.2-corrected
EW ex-IPO-cohort,0.7232761822227569,0.3275657300266921,2.0859208384438728,2.77850945632155,-0.3372046623319295,-0.10592997995790399,4.062617029471618,v1.2-corrected
QQQ B&H,0.25299856534938736,0.19871360675158597,1.0718871688321734,1.4475444112855809,-0.22768310492842747,-0.0621088926226101,0.9584309210163549,v1.2-corrected
SOXX B&H,0.492179307061515,0.36604867610231023,1.2352982993309103,1.7172160299426236,-0.41361042270236315,-0.10444306679538984,2.296204967935196,v1.2-corrected
NVDA B&H,0.7259573088207467,0.4699892950803879,1.459516878365111,2.1778185949480684,-0.36881037580530485,-0.16968176559118453,4.0861266553370355,v1.2-corrected
