name,cagr,vol,sharpe,sortino,maxdd,worst_day,total,engine_version
V1 Tactical,1.0053453012306517,0.4508355532849765,2.1412359655238853,2.6449873856485517,-0.34394940292712595,-0.161694035556313,2.988235908803558,v1.2-corrected
V2 Tactical+gate,0.8969038247836996,0.41352734522181334,2.072181766659378,2.492392338747393,-0.30248167570521367,-0.161694035556313,2.5709236216892504,v1.2-corrected
V3 eq-weight,0.9957583498834177,0.47297021802845707,2.02075799585739,2.516470286860174,-0.36350378877150535,-0.17157351099633034,2.950419316337562,v1.2-corrected
V4 monthly,0.8322950313788184,0.44779458940291234,1.769326941701689,2.0935009155948365,-0.35215562634833353,-0.17597997544421673,2.3331887718375794,v1.2-corrected
V5 Core(price),0.9356975840814883,0.49545833655629035,1.8078161532351684,2.2420295475006466,-0.4162970123903573,-0.19139144693404542,2.717579664149901,v1.2-corrected
BLEND 50/50,0.9312155190220608,0.43834190116101773,2.033151557406526,2.4831100383330758,-0.3343464476580754,-0.1765427412451792,2.7004857698479325,v1.2-corrected
BLEND ex-IPO-cohort,0.7679358617545258,0.41244662032957097,1.7649213883068284,2.1646488403530832,-0.33112224715453054,-0.16978587769490716,2.104466522355668,v1.2-corrected
EW-50 universe,0.8102647534303591,0.3899188080723301,1.9754490870506423,2.583042119889336,-0.3557820120753844,-0.11684061989716443,2.2539871452738436,v1.2-corrected
EW ex-IPO-cohort,0.6652686166215624,0.362442237384854,1.7251538372930584,2.2359842938988783,-0.3372046623319297,-0.10592997995790432,1.756334221459921,v1.2-corrected
QQQ B&H,0.22982186575017294,0.2166143890209599,0.8763123567557902,1.1521924839125637,-0.22768310492842747,-0.06210889262261021,0.5087416189258951,v1.2-corrected
SOXX B&H,0.5046483122942911,0.4046744597972827,1.1482027121925402,1.5525912698695723,-0.41361042270236303,-0.10444306679538984,1.2529817989032326,v1.2-corrected
NVDA B&H,0.2858493512335025,0.48214233805052004,0.5099103145091187,0.7214712630140967,-0.36881037580530474,-0.16968176559118442,0.6484671538709699,v1.2-corrected
